model,accuracy,precision,recall,f1,cv_mean,cv_std,confusion_matrix
Logistic Regression,0.9144736842105263,0.92,0.9078947368421053,0.9139072847682119,0.9144086021505377,0.016386475872299976,"[[70, 6], [7, 69]]"
Random Forest,0.9605263157894737,0.9375,0.9868421052631579,0.9615384615384616,0.960215053763441,0.025005491361287966,"[[71, 5], [1, 75]]"
SVM (RBF),0.9736842105263158,0.9615384615384616,0.9868421052631579,0.974025974025974,0.9737634408602152,0.013127090289919867,"[[73, 3], [1, 75]]"
SVM (RBF Probability),0.9736842105263158,0.9615384615384616,0.9868421052631579,0.974025974025974,0.9737634408602152,0.013127090289919867,"[[73, 3], [1, 75]]"
